query_id,answer
95,1951 4234 4308 4214 4328 3467 4286 4396 4219 4320
96,4219 4387 4384 4400 1966 2865 2646 1958 4234 4440
97,4219 4400 2865 2646 1966 4384 4234 1958 4387 4403
98,1951 4214 4234 4219 4328 3467 2698 4308 4361 4286
99,4219 4387 1958 2646 4400 4440 4234 2865 1966 4384
100,4328 4286 1951 4396 4234 4219 4214 4308 1909 3467
101,2646 4219 2865 1966 4400 4384 4440 4403 4234 2831
102,4451 2698 4214 4219 4361 4395 2646 1951 4234 1966
103,2646 4219 1951 4389 4234 4396 4384 4440 4308 4361
104,4219 4384 4400 2646 2865 1966 4440 4387 1958 4389
105,2646 4219 4384 4308 4234 4361 4389 4328 4214 4396
106,4219 2646 4361 4234 4384 4389 4440 4308 1951 2865
107,1909 4234 4328 4286 4308 4219 4396 1907 4361 1951
108,1951 4219 2646 4234 4308 4440 4361 4389 3565 4286
109,2646 4219 4361 4234 4308 4384 4328 1951 4214 2865
110,2646 4219 4308 4234 4328 1951 4361 4384 4396 1909
111,2646 4219 4234 4361 4308 4384 4286 4387 4389 1951
112,4219 4400 1966 4440 2865 4384 2646 1958 4389 4387
113,1951 4214 4234 4219 2646 4328 4308 2698 4286 1909
114,4395 4219 2646 4214 2865 4440 4389 4400 4384 1966
115,4395 1909 4214 4451 4384 4234 1951 4328 2698 4440
116,2646 4219 4389 1951 4234 4308 4440 4384 4361 2511
117,4234 1909 4328 1951 4286 4396 4308 1907 1958 4387
118,4219 4440 4389 2646 3565 4384 1958 4387 4395 4361
119,4219 2646 4234 4328 4308 1951 4396 4214 4384 4361
120,4219 4440 4389 2646 4384 4361 4234 2865 2943 4396
121,4219 2646 4384 4440 2865 1966 4400 4387 1958 4361
122,4451 2698 4214 4234 4219 2665 4286 1951 4276 4395
123,4219 2646 4384 4400 2865 4387 1966 4234 1958 4361
124,1909 4234 4328 4286 2646 4219 4308 1951 4396 4361
125,1958 4440 4219 4387 2646 4384 2865 1966 4361 4389
126,4328 4234 1909 4396 1907 4286 4308 1951 4361 3467
127,4219 2646 4361 2865 4234 4384 1966 4214 4400 4308
128,4219 2646 1966 2865 4384 4400 4403 4387 2831 4440
129,4219 4400 4328 4234 4308 2646 2865 4387 4396 4361
130,4219 1951 4234 4400 2865 2646 4361 4387 1966 4403
131,4440 4389 2222 2886 2894 3128 4307 4234 1951 4219
132,2646 4219 4361 4234 4440 4332 4214 1951 4387 1909
133,4308 4234 4361 4328 4396 4219 1958 1951 1909 2698
134,4328 4234 1909 4308 4286 4396 4219 4400 1951 2646
135,4387 4384 4219 4400 2865 1966 1958 4403 2646 4395
136,4219 1966 2865 4384 2646 4400 4395 4234 4403 4387
137,4234 4308 4219 4328 1909 4214 2646 4396 1951 4286
138,3147 4440 2886 3254 4219 3256 4234 1951 2646 4214
139,4219 2646 4308 4214 4234 4384 4396 1951 4328 4361
140,4219 4395 2865 2646 4214 1966 4384 4440 4400 4389
141,4234 1909 4219 4328 2698 4308 4286 4396 1907 4387
142,4219 2865 2646 4384 1966 4400 4387 4361 4234 4403
143,1951 2646 4234 4308 4219 2698 4328 4214 4320 3861
144,4389 4219 2646 3565 4440 4384 4396 4308 4403 4400
145,1951 4234 4286 3467 4396 4219 4214 2665 2646 4328
146,1951 4234 2646 4219 4361 2698 4286 3467 1958 4387
147,4219 2646 1966 4384 4387 4440 2865 4400 1958 4361
148,4219 2865 2646 1966 4384 4400 4234 4361 4387 4403
149,2865 2646 4219 4400 1966 4384 4403 4387 4234 4361
150,4440 4234 4219 1951 2646 2948 4308 4214 1966 4328
151,4219 2646 4400 2865 1966 4384 4403 4234 4440 4387
152,4219 2646 4384 4387 1966 4440 2865 4361 4395 4400
153,1907 4328 4234 1909 1951 4396 4308 4286 3467 4219
154,4328 4396 4234 4286 1909 4308 4219 1907 3467 4400
155,4219 1966 2646 2865 4403 4400 4384 4234 4387 4361
156,4219 2865 1966 4400 2646 4384 4234 4403 4214 4387
157,4219 1966 4384 2646 4400 4387 2865 1958 4440 4234
158,1951 4234 2665 4214 3467 1909 4286 2646 4328 4308
159,4219 2646 2865 4384 1966 4400 4440 1958 4387 4395
160,1909 4234 4328 4396 4308 4286 4361 2646 4219 4400
161,2665 4214 4219 4234 2646 2698 4308 4396 4395 4361
162,4219 2646 2865 4384 1966 4400 4440 4234 4361 4387
163,4328 4286 4234 4396 4308 1951 2698 4214 3467 4219
164,1966 2646 4219 2865 4234 4384 4400 4214 4440 4395
165,2646 4219 4384 4440 1966 2865 4400 4234 4361 4214
166,4234 1951 4308 1909 4328 4219 3467 4286 4214 2646
167,4219 4400 2865 1966 4384 2646 4387 4403 4532 4234
168,1951 4234 4219 4403 2646 1907 2698 4400 4286 4308
169,4219 4400 1966 2865 2646 4403 4384 1951 4234 4387
170,4219 4387 2865 4400 1958 4384 2646 1966 4234 4403
171,4440 4389 4219 2222 2894 2886 4395 3254 1966 2646
172,4219 2646 4384 4234 1951 4361 4389 4308 4440 4387
173,4440 2886 4389 2894 2222 4234 3254 3128 4395 2646
174,1907 4234 1909 1951 4328 4214 4396 4219 2698 4308
175,4451 2698 4214 4234 4440 4219 2095 4276 2665 4433
176,4440 4219 1958 2646 4389 4384 2865 4387 4234 1966
177,1951 2646 4234 4214 4219 3467 2698 4396 4328 4308
178,1951 3467 4234 2646 2698 4219 4328 4308 4396 4361
179,3028 4423 4364 4232 4318 4372 2908 4308 4219 4307
180,4219 4308 4389 2646 4234 4440 3565 4214 4384 4400
181,3565 4389 4219 2646 4440 4308 4384 4361 4387 4234
182,2646 4219 4234 1951 4440 4286 4389 4361 4384 4308
183,1951 4214 4328 4234 3467 2698 3861 4219 4286 4308
184,4219 2865 2646 1966 4384 4400 4234 4361 4403 4387
185,1951 4234 2646 4308 2698 4214 3467 4440 4219 4320
186,2886 4440 2894 4389 2222 3254 4307 3128 4219 4433
187,4400 2865 2831 4219 4403 2646 1966 4387 4234 4361
188,4219 4400 2865 1966 2646 4234 4384 4387 2831 4403
189,4219 2865 4400 2646 1966 4384 4387 4403 4234 1958
190,1951 4361 4234 2646 3467 4219 2698 2865 4214 4384
191,1951 4234 2698 3467 4219 2665 2646 4214 4308 4361
192,4328 4234 4286 4396 1909 4361 2646 1951 4219 4387
193,1966 4219 2646 4403 4387 4400 4234 1958 4384 2865
194,1951 3467 1907 4234 4396 4286 4328 3861 4320 4219
195,4395 4214 4219 2646 4389 2865 4384 4387 1966 1951
196,4219 4387 4384 2646 1966 2865 4400 4440 4395 4361
197,4389 2646 4219 3565 4384 4440 4396 4214 1951 4361
198,1951 4234 4214 3467 2646 2698 4328 2665 4219 4286
199,4219 4234 4361 2865 2646 4384 1966 4387 1951 4400
200,4219 1966 2646 2865 4400 4440 4384 4387 1958 4234
201,4400 4219 2865 4387 1958 4403 1966 2646 4440 4384
202,2646 4389 4219 4440 3565 4384 4308 4387 4396 4361
203,4219 1966 2646 4387 4384 2865 4440 4400 4403 1958
204,4234 1909 4328 4396 4308 2646 4219 4286 1951 4361
205,4219 1951 2646 4361 4440 4234 4214 2865 4400 1966
206,4219 4308 4361 4234 4400 1958 4403 4387 2646 4389
207,2646 4219 4214 4395 2665 4389 4234 1951 2698 4440
208,4219 2865 4387 2646 4440 4400 4384 1958 4403 1966
209,1951 4234 4328 2646 4286 4396 4219 4214 4308 3467
210,4234 1909 4219 2646 4361 2865 4328 4400 1951 4384
211,4219 2646 1966 4384 2865 4400 4440 4387 4361 1958
212,4328 4286 4234 1951 4308 4396 4219 1909 4400 4214
213,4440 4219 3565 4389 4384 4308 2646 4234 4361 1966
214,4219 4395 2646 1966 2865 4400 4214 4384 4234 4361
215,1909 4234 4328 4219 4396 1951 4308 4286 1907 2646
216,4440 2222 4389 4234 2886 3254 4451 4219 3256 2646
217,4214 2698 4451 4219 2646 4361 4234 4308 4400 4395
218,2646 4219 4384 4389 4440 4361 2865 4387 4234 1951
219,4389 2646 4219 4384 4308 4440 4234 1951 3565 4361
220,4440 4389 2222 2894 2886 3254 4395 4234 4219 3128
221,4389 3565 4219 2646 4440 4308 4387 4384 4396 4361
222,1951 4234 3467 4219 4214 4328 2646 4286 4320 4396
223,2646 4389 4219 4440 3565 1951 4308 4361 4403 4234
224,4400 4219 1966 4387 2865 4403 4234 2646 4384 2831
225,4440 1909 2908 4234 4307 4219 4318 4328 2646 1951
226,2908 4372 4307 2204 1909 4234 3932 4318 2222 4219
227,4328 4234 4396 4286 1907 1909 1951 3467 4308 4219
228,4219 2865 2646 4384 1966 4400 4234 4387 4403 4361
229,4219 2646 1966 1958 2865 4384 4387 4400 4361 4218
230,4400 4219 4387 2865 4403 2646 4234 4384 1958 1966
231,4328 4234 4396 1951 1909 4308 4286 4219 1907 2646
232,4219 4384 4387 2646 2865 1966 4400 4395 1958 4234
233,1951 4234 4214 2665 2698 2646 4396 4219 4328 4440
234,4219 4308 2646 4234 4389 4440 4361 4403 4387 4384
235,4384 4219 2646 4387 2865 4400 1966 4361 4403 4395
236,4219 2865 1966 4400 2646 4384 4403 4234 4387 1958
237,4396 1909 4328 2646 4219 4308 4234 1951 4389 4361
238,4328 4234 1909 4396 1951 4308 2665 4214 4286 2646
239,4423 4364 4232 4440 3028 4389 4372 4307 2908 4318
240,4328 4286 4396 4234 1909 1951 1907 4308 4361 4219
241,4328 4234 1907 4396 1951 4219 4286 1909 3467 4308
242,4234 4214 1951 4328 2698 1909 4219 2646 2665 4396
243,4219 4384 4361 2646 4440 2865 1966 4389 4400 4387
244,1951 3467 4234 2646 4308 2698 4328 4219 4214 4320
245,4219 4387 4384 2646 2865 1966 4395 4400 4361 1958
246,4219 1966 2865 2646 4400 4384 2831 4403 4234 4387
247,4219 2646 4387 2865 4361 4384 4440 4400 4234 1966
248,2222 4440 4234 2886 2894 4283 4219 4451 2646 2661
249,4219 4384 2646 1966 2865 4400 4440 4361 4403 4387
250,1951 4308 4234 2646 3467 2698 4328 4219 4214 4396
251,4219 4400 4384 2865 4387 1966 4308 4403 1958 4234
252,4440 2894 4389 2886 3254 2222 4219 4451 4234 2646
253,4328 4234 1909 4396 4308 4286 4219 1951 4214 2646
254,1951 4234 2646 3467 4328 4219 4214 2865 1909 4286
255,1909 4234 1958 4219 2646 4308 4328 4286 4361 4387
256,4219 2865 2646 4400 1966 4384 4387 4403 4440 4234
257,4234 4361 4286 2928 4328 4320 1909 2698 4219 3889
258,4234 4308 4328 1909 4214 4396 4219 2646 1951 4286
259,2865 4219 4384 4400 1966 2646 4403 4387 4234 2831
260,1951 4234 3467 4219 4328 1909 4308 2646 4214 4286
261,4219 4400 2646 4387 4384 1966 2865 1958 4440 4234
262,1951 4234 4328 4286 2646 4403 4219 4396 4532 4214
263,4224 3993 4134 4234 4328 2204 3932 4440 4276 2095
264,1909 4440 4234 4361 2222 4433 4389 4451 4396 1951
265,4219 1966 2646 4387 4384 4440 2865 4400 4403 4395
266,4451 2698 4234 4214 3995 4308 4219 4361 1909 4328
267,4219 2865 4400 1966 2646 4384 4387 4403 2831 4234
268,4234 4328 1909 4396 4308 4286 4219 2646 1951 1907
269,4308 2698 4234 4451 4219 4214 4361 4328 4400 2646
270,2646 4219 4234 4361 1951 4286 1907 4308 4400 4384
271,4328 4234 1909 4396 4286 4308 1907 4219 3467 4361
272,4219 2646 2865 4384 4387 1966 4400 4395 4403 4234
273,1951 4234 3467 3861 4308 4396 4328 4320 4286 4219
274,4396 1909 4308 2646 4328 4219 4234 4387 1958 4389
275,2646 4219 4234 4361 1909 4384 1951 2865 1966 4328
276,4219 2865 2646 4384 4387 4400 1966 4403 4361 4234
277,4451 4214 2698 2222 4234 4219 4440 2646 4396 4276
278,4328 4396 4286 1951 4234 1909 3467 1907 4308 2665
279,4328 4396 4286 4234 1909 1907 3467 4308 2646 4219
280,4219 2646 4440 4234 1966 4400 1958 4361 4384 4308
281,4440 4389 4219 2646 1951 2222 4234 4361 1966 4384
282,4219 2646 4234 4308 4384 2865 4361 4403 4387 4440
283,4328 4234 4308 1909 4396 4219 4286 1951 4214 2646
284,2222 4440 4389 4234 4395 2886 4214 4219 2698 4307
285,2698 4234 4214 4308 3995 1951 2665 4328 4219 4286
286,4328 4234 1909 4308 4286 1907 1951 4396 4219 4400
287,1951 4219 4328 4214 4234 4395 2646 4384 1909 4307
288,4214 4389 1951 4219 2646 2698 4440 4234 4396 4395
289,4234 4219 2646 4308 4440 4361 1951 4387 4400 1958
290,4234 4219 4308 2646 1951 4286 4361 4400 4403 4384
291,4219 2646 1966 4384 1958 4387 4400 4440 2865 4403
292,4219 2865 2646 4384 4400 1966 4234 4387 4403 4361
293,4219 2646 4389 4384 4308 4440 4234 4361 3565 4214
294,4395 4219 4384 4387 2646 4389 1966 4214 2865 4400
295,4219 4400 2865 1966 4384 2646 4387 4403 4532 4234
296,1951 4308 4234 2646 4219 4328 2698 2665 4361 4214
297,4219 4308 2646 4234 4396 4328 4384 4214 1909 4387
298,4219 2865 2646 4400 1966 4384 4361 4234 4387 4440
299,4361 4384 4219 4440 2943 4389 4234 1966 2646 2865
300,4308 4234 4219 1907 2646 4387 4396 4214 4286 4384
301,4219 4440 4234 2646 1951 4361 1958 4387 2865 4384
302,2222 4440 4433 4389 4307 4224 3862 3993 2886 4451
303,4328 4234 4396 4286 1909 1951 4308 1907 4361 2865
304,2646 4219 4234 4361 4384 4440 4308 4389 1951 4214
305,4234 4396 4286 4328 4214 2698 4219 2665 1951 4387
306,4234 4328 1951 1909 4219 3467 4286 4308 4396 2646
307,4307 2222 4440 1909 4234 3993 4134 4224 4214 4372
308,1951 4286 4234 4328 3467 4396 4308 4214 2698 2646
309,4440 2886 2894 4389 3254 2222 4219 4234 4214 2698
310,1951 4396 4328 4286 4219 4234 2646 4214 3467 2698
311,4219 2865 2646 4400 1966 4384 4387 4234 4361 4440
312,4219 4234 4328 4396 4308 2646 4214 4384 2698 4400
313,1951 4234 4308 4214 4219 4328 4396 1907 3467 2646
314,4308 4396 4328 4234 4219 2646 4214 1909 4286 1951
315,1951 4214 3467 4234 2646 4308 2698 4219 4328 4320
316,4400 4219 2646 1966 4387 4403 4384 2865 4234 1958
317,4234 1909 4308 4328 4396 4286 1907 1951 2698 2646
318,1966 4219 2646 4384 4387 2865 4400 4395 4403 4440
319,4234 4328 1909 1951 4396 4308 3467 4286 4219 4361
320,4384 4219 4361 4234 2646 2698 4308 4440 2865 1951
321,4328 4396 4234 4286 1909 1907 4308 4403 3467 4532
322,4400 4219 1909 4384 4234 1958 2831 4387 2865 4440
323,4219 1966 2646 4400 4384 2865 4234 4440 4387 4389
324,2865 4219 4400 2646 4387 1966 4384 1958 4218 4234
325,4400 4219 2646 1966 4440 1958 4387 4384 2865 4403
326,4328 4396 4234 4286 1909 1951 3467 4308 1907 4214
327,4219 2646 4234 4361 4384 4440 4308 4389 4387 1951
328,4234 2646 4219 4308 4009 4361 1909 3843 4214 4396
329,4219 4400 4387 1966 2646 4384 2865 4403 4440 1958
330,1951 4214 4308 2646 3467 4234 4219 2698 2665 4286
331,4219 2646 4389 4384 4440 3565 1951 2865 4308 4234
332,4234 1951 4214 4219 1909 4328 4308 4286 4400 2665
333,1951 4308 4234 2698 4328 3467 4219 2646 4440 4214
334,4214 4219 2865 4400 2698 2665 2646 4234 4403 4387
335,1951 4286 4396 4328 4234 4214 2646 4219 3467 4308
336,4328 4234 4308 1909 4396 1951 4219 4214 4286 2646
337,4219 2646 4234 4400 4384 4387 1966 4361 1909 1958
338,1951 4219 1966 4234 2646 4308 2698 4214 4403 4218
339,4214 2698 1951 4234 4451 4308 4219 2665 4328 2646
340,2222 4224 4307 4234 4440 4219 4451 2646 4214 2894
341,4219 2646 4387 1966 4384 2865 4440 4400 4395 1958
342,4234 1951 4361 2646 4219 2698 4400 1907 4276 4308
343,4219 2646 4234 4361 1951 4440 2865 4214 4384 4403
344,2646 4219 4234 4361 4308 1951 4328 4214 4396 4384
345,4219 4440 2646 1958 2865 4400 4389 4361 4384 4234
346,4234 4364 4219 4214 1909 4387 1966 1958 2865 4328
347,4400 4219 4387 4234 1958 2646 4403 4361 2865 4384
348,4440 1958 2646 4395 4389 4219 4387 4384 4214 4308
349,4219 2646 4361 4384 4440 1966 2865 4389 4234 4403
350,4219 2865 2646 1966 4400 4384 4403 4234 4361 4387
351,4400 4219 1966 4387 2646 2865 4403 4234 4384 4361
352,4400 4219 4214 2865 4234 1966 4387 4286 4308 4328
353,3147 2831 4219 4384 4400 4387 4440 1951 4361 1958
354,4234 4328 4308 4286 4396 1909 1951 4214 4219 1907
355,4219 4384 2646 4387 4400 4440 4395 2865 1966 4389
356,4234 1909 4328 4396 4286 4308 4219 1951 2646 4214
357,4219 2646 4234 1951 1909 4328 4308 4384 4361 1907
358,4219 4234 2646 4361 1951 4328 4308 2865 4396 4400
359,2865 4219 4400 1966 2646 4384 4234 4403 4387 4395
360,1951 4234 4328 4214 2698 4219 3467 4396 4308 4286
361,2665 4214 4395 1958 1909 2698 4219 4234 4400 2646
362,4361 4219 4234 2865 2646 4384 1951 4440 4400 4403
363,4219 2865 2646 4400 4384 1966 4440 4234 4361 4403
364,4328 1909 4234 4286 1907 4219 4396 4308 1951 2865
365,4440 4219 2646 3128 4307 4451 2222 4234 2886 4214
366,4219 4234 4361 2865 2646 4400 1966 4384 4308 4403
367,4384 4219 1966 4361 2646 4234 4440 4328 2865 4400
368,4234 4308 1951 2646 4219 4361 1909 4286 4403 2698
369,4328 4234 4308 1909 4286 4396 1951 4219 1907 2646
370,4234 1951 2646 4308 4214 4219 1907 4328 4286 4361
371,2886 4219 4440 2646 2222 3254 3256 4451 4361 4389
372,4234 1951 4396 4328 4308 4219 3467 4400 1909 2646
373,4234 4308 1909 4328 4214 4219 4396 1951 2646 4400
374,4400 2865 4219 2646 4234 1966 4308 4361 4403 4387
375,1951 2646 4234 3467 4219 2698 4214 4361 4320 4308
376,4219 2865 2646 1966 4384 4400 4387 4234 4403 4361
377,4219 2646 4234 4308 1951 4361 4384 2865 1909 1907
378,4234 4308 4328 4214 4396 4219 1909 3467 1951 4286
379,4219 2646 4384 4440 2865 1966 1958 4400 1951 4387
380,1966 2865 4219 2646 4400 4403 4384 4440 1958 4387
381,4219 4400 2646 2865 1966 4384 4234 4361 4387 4403
382,1909 4234 4328 4286 4308 4219 4396 4361 2865 4400
383,4234 2222 3128 4440 3862 2202 4433 1951 4451 4307
384,4234 4219 2646 1951 1909 4308 4214 3467 4384 4328
385,1951 2646 4234 4219 4214 4308 3467 4328 2698 4389
386,4219 1966 4440 4384 2646 4400 2865 4403 2831 4361
387,1951 4234 4308 3467 2698 4328 4219 2646 2665 4214
388,4219 4440 2646 1958 4384 2865 4361 4389 4234 4387
389,1951 4234 4219 4308 2698 4403 4214 2646 4400 1907
390,4328 4234 4372 4308 2646 4364 2908 4219 1909 4286
391,4234 4328 4308 4396 1909 1951 4286 2698 4219 2646
392,1909 4328 4234 4308 4396 4286 1951 2646 4219 1899
393,4219 2646 4234 4440 1951 4308 4389 4214 4384 4361
394,1951 3467 4234 4328 4396 2646 4214 4286 2698 4219
395,4440 2222 4389 2646 4395 4276 4234 1951 4219 3128
396,4389 4219 4395 3565 2646 4384 4440 4214 4451 2698
397,1951 2646 4234 4219 4308 2698 2865 4361 4328 4214
398,4395 4234 1909 4214 4219 4361 2665 2698 2646 4451
399,2646 4219 2865 1966 4440 4384 4400 4389 4403 4361
400,4395 4219 2646 4214 4389 4440 4384 1958 1966 2865
401,4400 4219 2646 2865 1966 4384 4387 4234 4403 4440
402,4451 4214 2698 4440 4219 2646 4400 4389 2665 4395
403,4219 2865 2646 1966 4384 4400 4361 4234 4387 4403
404,1966 4219 2865 2646 4400 4384 4234 4403 4361 4387
405,4234 4328 1909 4286 1951 4396 4308 3467 4214 2646
406,4219 4400 2865 4387 1966 2646 4384 2831 4403 4440
407,4328 4286 4396 4234 4308 1951 1909 4219 3467 4214
408,4234 4361 2646 4219 1909 4328 1951 2865 4384 4308
409,4234 1909 1951 4328 4396 4308 4286 1907 1958 4387
410,4234 4219 1951 4308 2646 4361 4286 4403 1907 1909
411,2646 4400 4361 4219 4403 4234 4387 2511 3843 1958
412,4219 4214 4395 2646 4389 4440 2865 1958 4384 4387
413,4328 4308 4234 4396 1909 4286 1907 4219 4400 4361
414,4440 2222 4234 4372 4214 4328 4307 2908 1951 4219
415,4328 4234 4396 1909 4308 1951 4219 4400 4286 1907
416,4219 2646 1966 4400 2865 4384 4440 1958 4387 4234
417,3147 4219 4451 2646 4400 1966 4214 4387 4440 1951
418,1909 4234 1907 4286 4328 4308 1951 4396 2698 4219
419,4219 4400 4384 2865 4387 4403 2646 1966 4234 4440
420,4219 2646 1966 4234 4384 2865 4361 4400 4440 4214
421,2865 4400 4219 2646 1966 4403 4387 4384 1951 4234
422,4219 4308 4234 2646 4328 1909 4396 4214 4387 4384
423,4219 4440 1958 2646 1966 4384 4387 2865 4389 4403
424,4219 4361 2646 4234 2865 4400 4384 1958 1909 1966
425,1951 4234 2646 4308 4219 4214 2698 3467 2665 4328
426,4219 4440 4389 4384 4387 2646 2865 1958 4361 4234
427,1951 4234 3467 4214 4328 2646 2698 4308 4219 4396
428,4234 4308 4328 1909 4219 2646 1951 4396 4214 4361
429,1951 4328 4234 3467 4308 4396 1907 4214 4286 2646
430,4219 4400 4387 2865 2646 4384 1966 4234 1958 4403
431,2865 4219 4384 1966 2646 4400 4234 4361 4440 1951
432,1951 4234 3467 4219 2646 4214 2698 4308 4328 2665
433,1951 4234 4219 2646 3467 4361 4328 4308 1909 4214
434,4009 2511 3843 2646 4396 4219 4387 4214 4308 1909
435,4234 2646 4361 4219 2865 4308 1951 4403 4400 1966
436,4400 4219 4308 4234 4387 4403 4396 2646 2865 1951
437,4219 4384 2646 2865 4395 4387 1966 4440 4234 4400
